instant,dteday,season,mnth,hr,holiday,weekday,workingday,weathersit,casual,registered,cnt,temperatura,sensacionTermica,humedad,velViento
1,2011-01-01,1,1,0,0,6,0,1,3,13,16,10.0,14.0,81.0,0.0
2,2011-01-01,1,1,1,0,6,0,1,8,32,40,9.0,14.0,80.0,0.0
3,2011-01-01,1,1,2,0,6,0,1,5,27,32,9.0,14.0,80.0,0.0
4,2011-01-01,1,1,3,0,6,0,1,3,10,13,10.0,14.0,75.0,0.0
5,2011-01-01,1,1,4,0,6,0,1,0,1,1,10.0,14.0,75.0,0.0
6,2011-01-01,1,1,5,0,6,0,2,0,1,1,10.0,13.0,75.0,6.0
7,2011-01-01,1,1,6,0,6,0,1,2,0,2,9.0,14.0,80.0,0.0
8,2011-01-01,1,1,7,0,6,0,1,1,2,3,8.0,13.0,86.0,0.0
9,2011-01-01,1,1,8,0,6,0,1,1,7,8,10.0,14.0,75.0,0.0
10,2011-01-01,1,1,9,0,6,0,1,8,6,14,13.0,17.0,76.0,0.0
11,2011-01-01,1,1,10,0,6,0,1,12,24,36,16.0,20.0,76.0,17.0
12,2011-01-01,1,1,11,0,6,0,1,26,30,56,15.0,17.0,81.0,19.0
13,2011-01-01,1,1,12,0,6,0,1,29,55,84,17.0,21.0,77.0,19.0
14,2011-01-01,1,1,13,0,6,0,2,47,47,94,19.0,23.0,72.0,20.0
15,2011-01-01,1,1,14,0,6,0,2,35,71,106,19.0,23.0,72.0,19.0
16,2011-01-01,1,1,15,0,6,0,2,40,70,110,18.0,22.0,77.0,20.0
17,2011-01-01,1,1,16,0,6,0,2,41,52,93,17.0,21.0,82.0,20.0
18,2011-01-01,1,1,17,0,6,0,2,15,52,67,18.0,22.0,82.0,19.0
19,2011-01-01,1,1,18,0,6,0,3,9,26,35,17.0,21.0,88.0,17.0
20,2011-01-01,1,1,19,0,6,0,3,6,31,37,17.0,21.0,88.0,17.0
21,2011-01-01,1,1,20,0,6,0,2,11,25,36,16.0,20.0,87.0,17.0
22,2011-01-01,1,1,21,0,6,0,2,3,31,34,16.0,20.0,87.0,13.0
